date_id,date,year,month,day,day_of_the_week,quarter
0,2013-01-01,2013,01,01,Tuesday,Q1
1,2013-01-07,2013,01,07,Monday,Q1
2,2013-01-19,2013,01,19,Saturday,Q1
3,2013-01-23,2013,01,23,Wednesday,Q1
4,2013-01-25,2013,01,25,Friday,Q1
5,2013-01-26,2013,01,26,Saturday,Q1
6,2013-02-02,2013,02,02,Saturday,Q1
7,2013-02-03,2013,02,03,Sunday,Q1
8,2013-02-09,2013,02,09,Saturday,Q1
9,2013-02-11,2013,02,11,Monday,Q1
10,2013-02-19,2013,02,19,Tuesday,Q1
11,2013-03-03,2013,03,03,Sunday,Q1
12,2013-03-04,2013,03,04,Monday,Q1
13,2013-03-07,2013,03,07,Thursday,Q1
14,2013-03-10,2013,03,10,Sunday,Q1
15,2013-03-11,2013,03,11,Monday,Q1
16,2013-03-13,2013,03,13,Wednesday,Q1
17,2013-03-21,2013,03,21,Thursday,Q1
18,2013-04-18,2013,04,18,Thursday,Q2
19,2013-04-21,2013,04,21,Sunday,Q2
20,2013-04-22,2013,04,22,Monday,Q2
21,2013-04-24,2013,04,24,Wednesday,Q2
22,2013-04-25,2013,04,25,Thursday,Q2
23,2013-04-28,2013,04,28,Sunday,Q2
24,2013-05-02,2013,05,02,Thursday,Q2
25,2013-05-04,2013,05,04,Saturday,Q2
26,2013-05-11,2013,05,11,Saturday,Q2
27,2013-05-12,2013,05,12,Sunday,Q2
28,2013-05-13,2013,05,13,Monday,Q2
29,2013-05-14,2013,05,14,Tuesday,Q2
30,2013-05-16,2013,05,16,Thursday,Q2
31,2013-05-18,2013,05,18,Saturday,Q2
32,2013-05-19,2013,05,19,Sunday,Q2
33,2013-05-23,2013,05,23,Thursday,Q2
34,2013-05-25,2013,05,25,Saturday,Q2
35,2013-06-07,2013,06,07,Friday,Q2
36,2013-06-10,2013,06,10,Monday,Q2
37,2013-06-15,2013,06,15,Saturday,Q2
38,2013-06-21,2013,06,21,Friday,Q2
39,2013-06-23,2013,06,23,Sunday,Q2
40,2013-06-27,2013,06,27,Thursday,Q2
41,2013-07-01,2013,07,01,Monday,Q3
42,2013-07-02,2013,07,02,Tuesday,Q3
43,2013-07-07,2013,07,07,Sunday,Q3
44,2013-07-12,2013,07,12,Friday,Q3
45,2013-07-13,2013,07,13,Saturday,Q3
46,2013-07-14,2013,07,14,Sunday,Q3
47,2013-07-20,2013,07,20,Saturday,Q3
48,2013-07-26,2013,07,26,Friday,Q3
49,2013-07-30,2013,07,30,Tuesday,Q3
50,2013-08-02,2013,08,02,Friday,Q3
51,2013-08-04,2013,08,04,Sunday,Q3
52,2013-08-05,2013,08,05,Monday,Q3
53,2013-08-06,2013,08,06,Tuesday,Q3
54,2013-08-09,2013,08,09,Friday,Q3
55,2013-08-14,2013,08,14,Wednesday,Q3
56,2013-08-17,2013,08,17,Saturday,Q3
57,2013-08-19,2013,08,19,Monday,Q3
58,2013-08-20,2013,08,20,Tuesday,Q3
59,2013-08-23,2013,08,23,Friday,Q3
60,2013-08-25,2013,08,25,Sunday,Q3
61,2013-09-07,2013,09,07,Saturday,Q3
62,2013-09-11,2013,09,11,Wednesday,Q3
63,2013-09-14,2013,09,14,Saturday,Q3
64,2013-09-15,2013,09,15,Sunday,Q3
65,2013-09-16,2013,09,16,Monday,Q3
66,2013-09-19,2013,09,19,Thursday,Q3
67,2013-09-20,2013,09,20,Friday,Q3
68,2013-09-22,2013,09,22,Sunday,Q3
69,2013-09-24,2013,09,24,Tuesday,Q3
70,2013-09-27,2013,09,27,Friday,Q3
71,2013-10-05,2013,10,05,Saturday,Q4
72,2013-10-07,2013,10,07,Monday,Q4
73,2013-10-12,2013,10,12,Saturday,Q4
74,2013-10-13,2013,10,13,Sunday,Q4
75,2013-10-26,2013,10,26,Saturday,Q4
76,2013-10-27,2013,10,27,Sunday,Q4
77,2013-11-10,2013,11,10,Sunday,Q4
78,2013-11-11,2013,11,11,Monday,Q4
79,2013-11-22,2013,11,22,Friday,Q4
80,2013-11-28,2013,11,28,Thursday,Q4
81,2013-12-01,2013,12,01,Sunday,Q4
82,2013-12-07,2013,12,07,Saturday,Q4
83,2013-12-22,2013,12,22,Sunday,Q4
84,2013-12-25,2013,12,25,Wednesday,Q4
85,2013-12-26,2013,12,26,Thursday,Q4
86,2014-01-01,2014,01,01,Wednesday,Q1
87,2014-01-02,2014,01,02,Thursday,Q1
88,2014-01-03,2014,01,03,Friday,Q1
89,2014-01-04,2014,01,04,Saturday,Q1
90,2014-01-05,2014,01,05,Sunday,Q1
91,2014-01-06,2014,01,06,Monday,Q1
92,2014-01-07,2014,01,07,Tuesday,Q1
93,2014-01-08,2014,01,08,Wednesday,Q1
94,2014-01-09,2014,01,09,Thursday,Q1
95,2014-01-10,2014,01,10,Friday,Q1
96,2014-01-11,2014,01,11,Saturday,Q1
97,2014-01-12,2014,01,12,Sunday,Q1
98,2014-01-13,2014,01,13,Monday,Q1
99,2014-01-14,2014,01,14,Tuesday,Q1
100,2014-01-15,2014,01,15,Wednesday,Q1
101,2014-01-16,2014,01,16,Thursday,Q1
102,2014-01-17,2014,01,17,Friday,Q1
103,2014-01-18,2014,01,18,Saturday,Q1
104,2014-01-19,2014,01,19,Sunday,Q1
105,2014-01-20,2014,01,20,Monday,Q1
106,2014-01-21,2014,01,21,Tuesday,Q1
107,2014-01-22,2014,01,22,Wednesday,Q1
108,2014-01-23,2014,01,23,Thursday,Q1
109,2014-01-24,2014,01,24,Friday,Q1
110,2014-01-25,2014,01,25,Saturday,Q1
111,2014-01-26,2014,01,26,Sunday,Q1
112,2014-01-27,2014,01,27,Monday,Q1
113,2014-01-28,2014,01,28,Tuesday,Q1
114,2014-01-29,2014,01,29,Wednesday,Q1
115,2014-01-30,2014,01,30,Thursday,Q1
116,2014-01-31,2014,01,31,Friday,Q1
117,2014-02-01,2014,02,01,Saturday,Q1
118,2014-02-02,2014,02,02,Sunday,Q1
119,2014-02-03,2014,02,03,Monday,Q1
120,2014-02-04,2014,02,04,Tuesday,Q1
121,2014-02-05,2014,02,05,Wednesday,Q1
122,2014-02-06,2014,02,06,Thursday,Q1
123,2014-02-07,2014,02,07,Friday,Q1
124,2014-02-08,2014,02,08,Saturday,Q1
125,2014-02-09,2014,02,09,Sunday,Q1
126,2014-02-10,2014,02,10,Monday,Q1
127,2014-02-11,2014,02,11,Tuesday,Q1
128,2014-02-12,2014,02,12,Wednesday,Q1
129,2014-02-13,2014,02,13,Thursday,Q1
130,2014-02-14,2014,02,14,Friday,Q1
131,2014-02-15,2014,02,15,Saturday,Q1
132,2014-02-16,2014,02,16,Sunday,Q1
133,2014-02-17,2014,02,17,Monday,Q1
134,2014-02-18,2014,02,18,Tuesday,Q1
135,2014-02-19,2014,02,19,Wednesday,Q1
136,2014-02-20,2014,02,20,Thursday,Q1
137,2014-02-21,2014,02,21,Friday,Q1
138,2014-02-22,2014,02,22,Saturday,Q1
139,2014-02-23,2014,02,23,Sunday,Q1
140,2014-02-24,2014,02,24,Monday,Q1
141,2014-02-25,2014,02,25,Tuesday,Q1
142,2014-02-26,2014,02,26,Wednesday,Q1
143,2014-02-27,2014,02,27,Thursday,Q1
144,2014-02-28,2014,02,28,Friday,Q1
145,2014-03-01,2014,03,01,Saturday,Q1
146,2014-03-02,2014,03,02,Sunday,Q1
147,2014-03-03,2014,03,03,Monday,Q1
148,2014-03-04,2014,03,04,Tuesday,Q1
149,2014-03-05,2014,03,05,Wednesday,Q1
150,2014-03-06,2014,03,06,Thursday,Q1
151,2014-03-07,2014,03,07,Friday,Q1
152,2014-03-08,2014,03,08,Saturday,Q1
153,2014-03-09,2014,03,09,Sunday,Q1
154,2014-03-10,2014,03,10,Monday,Q1
155,2014-03-11,2014,03,11,Tuesday,Q1
156,2014-03-12,2014,03,12,Wednesday,Q1
157,2014-03-13,2014,03,13,Thursday,Q1
158,2014-03-14,2014,03,14,Friday,Q1
159,2014-03-15,2014,03,15,Saturday,Q1
160,2014-03-16,2014,03,16,Sunday,Q1
161,2014-03-17,2014,03,17,Monday,Q1
162,2014-03-18,2014,03,18,Tuesday,Q1
163,2014-03-19,2014,03,19,Wednesday,Q1
164,2014-03-20,2014,03,20,Thursday,Q1
165,2014-03-21,2014,03,21,Friday,Q1
166,2014-03-22,2014,03,22,Saturday,Q1
167,2014-03-23,2014,03,23,Sunday,Q1
168,2014-03-24,2014,03,24,Monday,Q1
169,2014-03-25,2014,03,25,Tuesday,Q1
