latitude,longitude
41.4455,-82.1377
29.8736,-90.0568
39.9272,-82.0073
36.1189,-95.8429
30.6884,-87.048
38.4333,-84.3542
45.5252,-122.992
36.8802,-80.0085
42.0999,-72.5896
33.5746,-81.7321
47.7549,-117.402
40.9764,-75.2797
40.4107,-79.993
42.267,-71.0989
47.6,-122.332
33.5396,-86.7628
34.5544,-92.5802
43.1682,-77.6019
42.3223,-122.868
45.2615,-122.687
47.986,-122.203
29.6537,-95.4568
30.443,-88.9163
32.9777,-104.423
35.093,-106.644
36.2321,-76.1573
33.1202,-85.2172
41.6923,-86.6932
41.4302,-81.5889
46.4464,-120.452
40.6695,-111.963
32.0604,-111.269
33.5816,-83.9434
43.5802,-83.9084
27.795,-97.3989
41.748,-74.0837
41.3048,-72.923
41.2524,-95.998
29.9551,-90.0747
40.7495,-73.9893
42.5952,-83.261
42.8969,-78.8263
42.259,-122.84
33.5028,-82.0412
41.8946,-84.0267
43.6169,-116.201
41.1801,-73.1887
39.9539,-75.1597
32.3241,-95.2959
38.9114,-90.1573
45.5229,-122.579
37.9951,-78.7232
34.3076,-83.8247
30.0139,-90.019
26.6996,-80.1047
40.6937,-73.9913
35.7756,-78.6346
32.5088,-93.7632
38.2441,-85.7637
39.9576,-77.6436
42.9463,-78.8406
41.1172,-87.8725
41.3049,-95.9719
37.7779,-122.227
35.8958,-80.0682
40.7614,-111.898
43.0013,-78.8622
33.2489,-92.6717
35.6368,-88.7964
42.9997,-83.6578
33.7555,-84.3906
31.3263,-89.2822
44.1136,-70.3152
41.5965,-73.0735
28.0432,-81.7615
40.6995,-85.0355
39.4816,-88.3655
41.6284,-87.5173
44.8312,-91.5221
32.4659,-93.8059
42.2711,-71.8097
40.368,-79.8939
30.2339,-92.0094
42.192,-121.727
38.5887,-121.401
33.4368,-111.943
35.0029,-89.9369
42.2336,-121.809
40.8226,-73.9204
40.6856,-89.5956
42.5263,-71.7592
39.8858,-82.9304
35.9405,-115.102
35.0854,-106.671
30.4631,-84.3145
39.1223,-94.6455
42.3448,-71.072
39.5173,-119.805
38.5767,-92.1735
42.2428,-71.8473
40.9136,-74.1278
64.8383,-147.72
47.1573,-122.514
41.6416,-83.545
38.8469,-78.7056
37.9647,-87.5592
39.8545,-88.9823
42.4605,-70.9408
28.0304,-80.6075
38.5295,-89.1489
35.6774,-90.5114
40.7198,-89.6466
40.7075,-74.1594
33.7407,-116.304
43.0493,-76.1761
34.9577,-81.0184
42.3994,-83.0129
38.3496,-81.6325
37.6898,-97.3411
29.8946,-90.0702
34.6795,-86.8056
32.7878,-96.7999
31.5922,-94.6743
44.6865,-91.1297
32.789,-80.0354
27.5322,-82.5655
32.8129,-83.6996
42.5612,-90.8308
40.4861,-106.803
45.5515,-94.2263
