participant_id,participant_age_group,participant_gender,participant_status,participant_type
1,Adult 18+,Male,Arrested,Suspect
2,Teen 12-17,Male,Unharmed,Suspect
3,Adult 18+,Female,Arrested,Suspect
4,Adult 18+,Male,Unharmed,Suspect
5,Teen 12-17,Male,Arrested,Suspect
6,Adult 18+,Female,Unharmed,Suspect
7,Adult 18+,Male,Killed,Suspect
8,Adult 18+,Male,Injured,Suspect
9,Adult 18+,Female,Injured,Suspect
10,Teen 12-17,Female,Arrested,Suspect
11,Child 0-11,Male,Arrested,Suspect
12,Child 0-11,Male,Injured,Suspect
13,Adult 18+,Female,Killed,Suspect
14,Teen 12-17,Male,Injured,Suspect
15,Teen 12-17,Male,Killed,Suspect
16,Child 0-11,Male,Unharmed,Suspect
17,Child 0-11,Female,Unharmed,Suspect
18,Teen 12-17,Female,Unharmed,Suspect
19,Teen 12-17,Female,Killed,Suspect
20,Teen 12-17,Female,Injured,Suspect
21,Adult 18+,Male,Killed,Victim
22,Adult 18+,Male,Injured,Victim
23,Adult 18+,Female,Injured,Victim
24,Adult 18+,Female,Killed,Victim
25,Adult 18+,Male,Unharmed,Victim
26,Child 0-11,Male,Injured,Victim
27,Child 0-11,Female,Injured,Victim
28,Teen 12-17,Female,Injured,Victim
29,Teen 12-17,Female,Killed,Victim
30,Teen 12-17,Male,Injured,Victim
31,Child 0-11,Male,Killed,Victim
32,Teen 12-17,Male,Killed,Victim
33,Adult 18+,Male,Arrested,Victim
34,Teen 12-17,Male,Unharmed,Victim
35,Adult 18+,Female,Unharmed,Victim
36,Teen 12-17,Female,Unharmed,Victim
37,Child 0-11,Female,Unharmed,Victim
38,Child 0-11,Male,Unharmed,Victim
39,Child 0-11,Female,Killed,Victim
40,Adult 18+,Female,Arrested,Victim
41,Teen 12-17,Male,Arrested,Victim
42,Child 0-11,Male,Arrested,Victim
43,Child 0-11,Female,Arrested,Victim
44,Teen 12-17,Female,Arrested,Victim
45,Child 0-11,Female,Killed,Suspect
46,Child 0-11,Male,Killed,Suspect
47,Child 0-11,Female,Arrested,Suspect
48,Child 0-11,Female,Injured,Suspect
