incident_id,crime_gravity_stolen,crime_gravity_not_stolen,ratio (stolen /not_stolen)
30,6,6,1
61,1,1,1
200,6,1,6
1032,4,2,2
1512,3,1,3
1986,1,1,1
1999,2,2,1
2218,9,1,9
2493,3,6,0.5
2871,2,2,1
2945,1,1,1
3121,1,1,1
4262,8,2,4
5191,1,1,1
5193,4,2,2
5501,2,2,1
5727,6,3,2
6099,3,3,1
6458,6,6,1
6777,2,1,2
6979,1,1,1
7121,1,1,1
7346,4,2,2
7347,1,3,0.33333334
7355,1,1,1
8093,2,2,1
8216,6,2,3
8493,3,3,1
8562,2,2,1
8563,6,2,3
8564,8,6,1.3333334
8939,3,3,1
9674,5,3,1.6666666
9979,5,1,5
10445,6,3,2
10450,1,1,1
10660,6,2,3
11072,6,2,3
11394,1,1,1
11967,2,2,1
11972,1,1,1
12330,4,2,2
12869,3,1,3
13108,2,2,1
13791,1,1,1
13813,1,1,1
14105,1,1,1
14695,3,1,3
14701,8,2,4
14933,3,1,3
15064,10,2,5
15077,2,2,1
15181,2,2,1
15360,2,2,1
15886,1,1,1
15887,4,1,4
16089,4,2,2
16179,2,2,1
16254,2,2,1
16624,14,2,7
17127,2,2,1
17437,2,2,1
17718,12,2,6
17860,1,1,1
18623,3,3,1
18876,1,1,1
19078,10,2,5
19624,2,1,2
20032,1,1,1
20947,3,1,3
21665,3,1,3
22035,2,1,2
22428,4,1,4
23071,2,1,2
23613,2,3,0.66666669
23616,13,1,13
24028,4,1,4
24213,1,1,1
24218,2,2,1
24453,2,2,1
24666,1,1,1
24915,2,1,2
25034,4,2,2
25281,2,1,2
26138,1,1,1
26389,6,3,2
26752,2,2,1
27834,1,1,1
27974,10,2,5
28240,1,1,1
28526,2,2,1
28972,1,1,1
29371,8,2,4
29373,2,6,0.33333334
29646,1,1,1
29718,4,1,4
30167,1,1,1
30222,1,1,1
30285,12,2,6
31141,1,1,1
31171,2,2,1
31424,1,1,1
31428,1,1,1
31637,1,1,1
31845,1,1,1
31871,1,1,1
32451,3,1,3
33696,3,2,1.5
33762,4,2,2
34707,3,1,3
34897,2,1,2
35338,1,1,1
35384,4,2,2
35414,2,2,1
35812,8,2,4
35920,2,2,1
36117,4,2,2
36270,1,1,1
36574,2,1,2
37880,8,2,4
37881,1,1,1
38639,4,2,2
39156,10,4,2.5
39712,2,1,2
